A1HE3-4;ALFILER 1 HUECO ENTORCHADO 3 - 4;A1HE3-4;UND;;0,75;
A1HE3-4F;ALFILER 1 HUECO ENTORCHADO 3 - 4 FDA/GD;A1HE3-4F;UND;6;7,2;3
A2H1-2;ALFILER 2 HUECOS 1 - 2;A2H1-2;UND;;0,44;
A2H1-2FG;ALFILER 2 HUECOS 1 - 2 FDA/GDE;A2H1-2FG;UND;3,5;4,2;3
A2H3-4;ALFILER 2 HUECOS 3 - 4;A2H3-4;UND;;0,5;
A2H3-4FG;ALFILER 2 HUECOS 3 - 4 FDA/GDE;A2H3-4FG;UND;4;4,8;3
AAAA;AGUJA;AAAA;;;0,13;
AAB;AGUJA DE ARETE BRONCE;AAB;UND;;0,69;
AABFG;AGUJA DE ARETE BRONCE FDA/GDE;AABFG;UND;5,5;6,6;3
AACB;ASAS DE ARETE COBRE;AACB;UND;;0,66;
AACBF;ASAS DE ARETE COBRE FDA/GDE;AACBF;UND;5,25;6,3;3
AACP;ALAMBRE DE ACERO FDA/PEQ.;AACP;UND;;0,89;
AACR;ARGOLLA DE ACERO;AACR;UND;;1,82;
AAD10;AGUJA DE ARETE DIAMANTE # 10;AAD10;UND;0,6;0,75;
AAE15;ARGOLLA ALUMINIO ENTORCHADA 1.8 X 15;AAE1;UND;;1,56;
AAE20;ARGOLLA ALUMINO ENTORCHADA 1.8 X 20;AAE18;UND;;1,88;
AAE15F;ARGOLLA ALUM. ENT. 1.8 X 15 FDA/ GDE;AAE1F;UND;12,5;15;3
AAE20F;ARGOLLA ALUM. ENTOR. 1.8 X 20 FDA/ GDE;AAE1F;UND;15;18;3
AAE3;ARGOLLA ALUMINIO ENTORCHADA 3.0 X 31;AAE3;UND;;0,88;
AAE32;ARGOLLA ALUMINIO ENTORCHADA 3.2 X 27;AAE32;UND;;0,81;
AAE32F;ARGOLLA ALUM. ENTOR. 3.2 X 27 FDA/GDE;AAE32F;UND;6,5;7,8;3
AAE3F;ARGOLLA ALUM. ENTOR. 3.0 X 31FD/GDE;AAE3F;UND;7;8,4;3
AAF;AGUJA DE ARETE FLOR;AAF;UND;0,5;0,63;6
AAFG;ARGOLLA DE ACERO F/GR;AAFG;UND;14,5;17,4;3
AAFP;ALAMBRE ALPACA FDA/PEQ.;AAFP;UND;;0,89;
AAKG;ALAMBRE ALPACA /KG;AAKG;UND;13,2;15,84;3
AAKILO;ALAMBRE AUMINIO KG.;AAKILO;UND;;15;1
AAPG;AGUJA DE ARETE PLANA GRANDE;AAPG;UND;;1,19;
AAPGFG;AGUJA DE ARETE PLANA GRANDE FDA/GDE;AAPGFG;UND;9,5;11,4;3
AAPP;AGUJA DE ARETE PLANA PEQUEÑA;AAPP;UND;;1,19;
AAPPFG;AGUJA DE ARETE PLANA PEQUEÑA FDA/GDE;AAPPFG;UND;9,5;11,4;3
AARG;AGUJA DE ARETE REDONDA GRANDE;AARG;UND;;0,69;
AARGFG;AGUJA DE ARETE REDONDA GRANDE FDA/GDE;AARGFG;UND;5,5;6,6;3
AARKG;ALAMBRE ACERO ROLLO KG;AARKG;UND;;15;1
AARP;AGUJA DE ARETE REDONDA PEQUEÑA;AARP;UND;;0,56;
AARPFG;AGUJA DE ARETE REDONDA PEQUEÑA F/G;AARPFG;UND;4,5;5,4;3
AART;ASAS DE ARETE;AART;UND;;0,88;
AARTF;ASAS DE ARETE FDA/GDE;AARTF;UND;7;8,4;3
ABAT;ANILLO PARA BASE ATACHE;ABAT;UND;0,11;0,16;6
ABN12;ARETE BOTON NIQ. # 12;ABN12;UND;;0,8;
ABN16;ARETE BOTON NIQ. # 16;ABN16;UND;;1,4;
ABN20;ARETE BOTON NIQ. # 20;ABN20;UND;;1,85;
ABNP10;ARETE BOLA NIQ/PLATA # 10;ABNP10;UND;;0,75;
ABNP14;ARETE BOLA NIQ/PLATA # 14;ABNP14;UND;;1,35;
ABNP16;ARETE BOLA NIQ/PLATA # 16;ABNP16;UND;;1,85;
ABNP8;ARETE BOLA NIQ/PLATA # 8;ABNP8;UND;;0,5;
ABTL;APLIQUE BOTON DE TELA;ABTL;UND;0,25;0,32;6
ABTLP;APLIQUE BOTON DE TELA PEQ.;ABTLP;UND;0,1;0,13;6
ABTM;APLIQUE BOTON DE TELA MEDIANO;ABTM;UND;0,2;0,25;6
ACCTDI;ASA CERRADA CON TORNILLO DIAMANTE;ACCTDI;UND;1,2;1,5;6
ACCTOR;ASA CERRADA CON TORNILLO;ACCTOR;UND;0,45;0,54;6
ACENU;ASAS CERRADAS NUEVA;ACENU;UND;;0,84;
ACERR;ASA CERRADAS;ACERR;UND;;0,19;
ACEX100;ASA CERRADAS;ACEX100;UND;15;18;3
ACFINA;ASAS CERRADAS FINA;ACFINA;UND;;0,19;
ACFX100;ASAS CERRADAS FINA;ACFX100;UND;15;18;3
ACMN;APLIQUE CARA DE MUÑEQUITAS;ACMN;UND;0,4;0,5;6
ACON;ARETE DE CONCHA;ACON;UND;;0,45;
ACPCG;ATACHE PARA COSER GRANDE;ACPCG;UND;1,5;1,89;6
ACPCO;ATACHE CUADRADO PARA COSER;ACPCO;UND;;3,15;
