ANTL5;ANTURIO  x  5 TALLO LARGO;ANTL5;UND;3,9;4,68
APCADOC;APLIQUE CARTUCHO;APCADOC;UND;0,21;0,25
APLXDOC;APLIQUE LIRIO;APLXDOC;UND;0,45;0,54
ARBF;ARBOL FICUS;ARBF;UND;85;106,25
ARBFN;ARBOL FLOR NARANJA;ARBFN;UND;50;50
ARBHP;ARBOL CON HOJAS PEQ.;ARBHP;UND;33;39,6
ARBOP;ARBOL OTOÑO PRIMAVERA;ARBOP;UND;39;48,75
ARBRT;"ARBOL ROSA ""T""";ARBRT;UND;33;39,6
ARGF;ARBOL GAJOS DE FLORES;ARGF;UND;69;86,25
ARMMG;ARBOL MANAZANA /MANDARINA GRD/;ARMMG;UND;;15
ARMMM;ARBOL MANDARINA/MANZANA MEDIANO;ARMMM;UND;8;8
ARMP;ARBOL MANDARINA PEQ/;ARMP;UND;4,5;5,4
ARRF;ARREGLO FLORAL;ARRF;UND;6,5;6,5
ARRH34;ARREGLO ROSA C/HELECHO x 34;ARRH34;UND;5,2;6,24
ARRS34;ARREGLO ROSA DE SEDA x 34;ARRS34;UND;7,5;9
AZX9TL;AZALEA x 9 TALLO LARGO;AZX9TL;UND;2,9;3,48
BAMTL;BAMBU T/L;BAMTL;UND;1,25;1,5
BBIX9;BOTON BICOLOR x 9;BBIX9;UND;2,45;2,94
BILX7G;BOTON C/ ILUSION x 7 GRANDE;BILX7G;UND;2,9;3,48
BOPX4;BOTON PERLA x 4;BOPX4;UND;3,4;4,08
BRLX12;BUQUET ROSA LIRIO x 12;BRLX12;UND;3,5;4,2
BRPX4;BUQUET ROSA PEQUEÑA x 4;BRPX4;UND;1,75;1,75
BRX5;BOTON ROSA x 5;BRX5;UND;2,5;3
BS21P;BOTON / SEDA x 21 PEQUEÑO;BS21P;UND;2,15;2,58
BSPQ;BOTON DE SEDA PEQUEÑA;BSPQ;UND;2,45;2,94
BX10C;BOTON x 10 CON CLAVEL;BX10C;UND;2,75;3,3
BX12BI;BOTON x 12 BICOLOR;BX12BI;UND;3,95;4,74
BX12E;BOTON x 12 ESPECIAL;BX12E;UND;3,8;4,56
BX12IP;BOTON x 12 C/ILUSION PLASTICA;BX12IP;UND;2,25;2,7
BX14AB;BOTON X 14 ABANICO;BX14AB;UND;1,6;1,92
BX14ILU;BOTON x 14 CON ILUSION;BX14ILU;UND;1,9;2,28
BX14IOF;BOTON X 14 C/ILUSION OFERTA 2;BX14IOF;UND;;0,88
BX14IP;BOTON x 14 ABANICO ILUSION/PLASTICA;BX14IP;UND;1,75;2,1
BX14MED;BOTON x 14 CON ILUSION MEDIANO;BX14MED;UND;1,45;1,74
BX14PRI;BOTON x 14 PRIMAVERA;BX14PRI;UND;1,45;1,74
BX1DOC;BOTON x 1 / DOC;BX1DOC;UND;0,65;0,78
BX1DOCOF;BOTON X 1 DOC. OFERTA;BX1DOCOF;UND;0,4;0,4
BX1GR;BOTON X 1 GRANDE;BX1GR;UND;1;1,2
BX21PN;BOTON x  21 PEQ. NUEVO;BX21PN;UND;1,8;2,16
BX36GR;BOTON X 36 GRANDE;BX36GR;UND;5,5;6,6
BX36ME;BOTON x 36 MEDIANO;BX36ME;UND;5,5;6,6
BX36PE;BOTON x 36 PEQUEÑO;BX36PE;UND;5,5;6,6
BX60;BOTON x 60;BX60;UND;9;10,8
BX7;BOTON x 7;BX7;UND;0,55;0,66
BX7GL;BOTON x 7 GRANDE LOCAL;BX7GL;UND;5,95;7,14
BX7MED;BOTON x 7 MEDIANO;BX7MED;UND;0,5;0,5
BX7OF;BOTON x 7 OFERTA x 2;BX7OF;UND;;0,89
BX7PMED;BOTON x 7 PRIMAVERA MED.;BX7PMED;UND;0,65;0,78
BX9ESP;BOTON x 9 GDE. ESPECIAL;BX9ESP;UND;3,95;4,74
CAÑGR;CAÑA GRANDE;CAÑGR;UND;7,14;7,14
CAÑME;CAÑA MEDIANA;CAÑME;UND;4,46;4,46
CAÑPE;CAÑA PEQUEÑA;CAÑPE;UND;4,02;4,02
CAÑX3;CAÑA x 3;CAÑX3;UND;15;15
CART7PP;CARTUCHO x 7 PLASTICA PEQ.;CART7PP;UND;0,65;0,78
CARTX14;CARTUCHO x 14;CARTX14;UND;1,25;1,5
CARTX7;CARTUCHO X 7;CARTX7;UND;0,65;0,78
CARTX8;CARTUCHO x 8;CARTX8;UND;0,75;0,9
CLAX7;CLAVEL x 7;CLAX7;UND;0,55;0,66
CLX7PR;CLAVEL x 7 PRIMAVERA;CLX7PR;UND;0,6;0,72
COLGHF;COLGANTE HOJA FINA;COLGHF;UND;2,9;3,48
COLHM;COLGANTE HOJA MEDIANA;COLHM;UND;3;3,6
COLMM;COLGANTE MALA MADRE;COLMM;UND;2,65;3,18
COLPL;COLGANTE PLASTICA;COLPL;UND;1,8;2,16
COLPR;COLGANTE PEDESTAL ROSA;COLPR;UND;4,8;5,76
