A2H1-2FG;ALFILER 2 HUECOS 1 - 2 FDA/GDE;A2H1-2FG;UND;3;5;4;2;3;;;
AABFG;AGUJA DE ARETE BRONCE FDA/GDE;AABFG;UND;5;5;6;6;3;;;
AACBF;ASAS DE ARETE COBRE FDA/GDE;AACBF;UND;5;25;6;3;3;;;
AAE32F;ARGOLLA ALUM. ENTOR. 3.2 X 27 FDA/GDE;AAE32F;UND;6;5;7;8;3;;;
AAFG;ARGOLLA DE ACERO F/GR;AAFG;UND;14;5;17;4;3;;;
AAKG;ALAMBRE ALPACA /KG;AAKG;UND;13;2;15;84;3;;;
AAPGFG;AGUJA DE ARETE PLANA GRANDE FDA/GDE;AAPGFG;UND;9;5;11;4;3;;;
AAPPFG;AGUJA DE ARETE PLANA PEQUEÑA FDA/GDE;AAPPFG;UND;9;5;11;4;3;;;
AARGFG;AGUJA DE ARETE REDONDA GRANDE FDA/GDE;AARGFG;UND;5;5;6;6;3;;;
AARPFG;AGUJA DE ARETE REDONDA PEQUEÑA F/G;AARPFG;UND;4;5;5;4;3;;;
AK102F;ARGOLLA DE ALUMINIO K102 FDA/GD;AK102F;UND;11;5;13;8;3;;;
AK104F;ARGOLLA DE ALUMINIO K104 FDA/GD;AK104F;UND;9;5;11;4;3;;;
AK105F;ARGOLLA DE ALUMINIO K105 FDA/GD;AK105F;UND;5;9;7;8;3;;;
AK106-7F;ARGOLLA DE ALUMINIO K106-K107 FDA/GD;AK106-7F;UND;4;5;5;4;3;;;
ALMAKG;ALAMBRE MEMORIA ANILLO / KG;ALMAKG;UND;6;9;8;28;3;;;
ALMCKG;ALAMBRE MEMORIA COLLAR / KG;ALMCKG;UND;6;9;8;28;3;;;
ALL0.28F;ARGOLLA LLAVERO 0.28 x 1000 PLANA FDA/GDE;ALL0.28F;UND;16;5;19;8;3;;;
AMAAKG;ALAMBRE MEMORIA ARETE / KG;AMAAKG;UND;6;9;8;28;3;;;
ARA30F;ARGOLLA DE ALUMINIO 3.0 x 2.6 FDA/GD;ARA30F;UND;4;5;5;4;3;;;
ARAL2.0F;ARGOLLA ALUMINIO 2.0 x 1.2 FDA/GDE;ARAL2.0F;UND;13;75;16;5;3;;;
ARAL3F;ARGOLLA DE ALUMINIO 3.0 x 3.1 FDA/GD;ARAL3F;UND;5;5;6;6;3;;;
ARG05F;ARGOLLA 0.5 FDA/ GDE.;ARG05F;UND;4;6;5;52;3;;;
ARG3F;ARGOLLA 3.5 mm FDA/ GDE;ARG3F;UND;5;2;6;24;3;;;
ARGCBF;ARGOLLA 0.5 COBRE / BRONCE FDA/GDE;ARGCBF;UND;3;7;4;44;3;;;
ARGNF;ARGOLLA 0.5 NEGRA FDA/GDE;ARGNF;UND;3;7;4;44;3;;;
