Codigo, Nombre, precio mayor, precio mayor2, precio menor, precio menor 2, cantidad mayor
0,,0.00,0.00,0.00,0.00,6
900,,0.90,0.90,1.00,0.90,6
1234,,0.20,0.20,0.98,0.20,6
01,adfha,1.00,1.00,2.00,1.00,6
ASATCH,ADORNO DE SANDALIA PARA ATACHE,0.38,0.38,0.38,0.38,6
AAAA,AGUJA,0.13,0.13,0.13,0.13,6
AAB,AGUJA DE ARETE BRONCE,0.69,0.69,0.69,0.69,6
AABFG,AGUJA DE ARETE BRONCE FDA/GDE,5.50,5.50,6.60,5.50,3
AAD10,AGUJA DE ARETE DIAMANTE # 10,0.60,0.60,0.75,0.60,6
AAF,AGUJA DE ARETE FLOR,0.50,0.50,0.63,0.50,6
AAPG,AGUJA DE ARETE PLANA GRANDE,1.19,1.19,1.19,1.19,6
AAPGFG,AGUJA DE ARETE PLANA GRANDE FDA/GDE,9.50,9.50,11.40,9.50,3
AARG,AGUJA DE ARETE REDONDA GRANDE,0.69,0.69,0.69,0.69,6
AARGFG,AGUJA DE ARETE REDONDA GRANDE FDA/GDE,5.50,5.50,6.60,5.50,3
AECHP,AGUJA P/ENSARTAR CHAQUIRA /50,0.11,0.11,0.11,0.11,6
AECHP50,AGUJA P/ENSARTAR CHAQUIRA /50F,1.50,1.50,1.88,1.50,6
ACHP,AGUJA PARA CHAQUIRA PEQUENA,0.50,0.50,0.63,0.50,6
AGUJX100,AGUJA X100,5.00,5.00,5.00,5.00,6
AARKG,ALAMBRE ACERO ROLLO KG,15.00,15.00,15.00,15.00,6
AAKG,ALAMBRE ALPACA /KG,13.20,13.20,15.84,13.20,3
AAFP,ALAMBRE ALPACA FDA/PEQ.,0.89,0.89,0.89,0.89,6
AAKILO,ALAMBRE AUMINIO KG.,15.00,15.00,15.00,15.00,6
AACP,ALAMBRE DE ACERO FDA/PEQ.,0.89,0.89,0.89,0.89,6
ALMA,ALAMBRE MEMORIA ANILLO,0.86,0.86,0.86,0.86,6
ALMAKG,ALAMBRE MEMORIA ANILLO / KG,6.90,6.90,8.28,6.90,3
AMAA,ALAMBRE MEMORIA ARETE,0.86,0.86,0.86,0.86,6
AMAAKG,ALAMBRE MEMORIA ARETE / KG,6.90,6.90,8.28,6.90,3
ALMC,ALAMBRE MEMORIA COLLAR,0.86,0.86,0.86,0.86,6
ALMCKG,ALAMBRE MEMORIA COLLAR / KG,6.90,6.90,8.28,6.90,3
ALMP,ALAMBRE MEMORIA PULSERA,1.50,1.50,1.50,1.50,6
ALMLPKG,ALAMBRE MEMORIA PULSERA / KG,12.00,12.00,14.40,12.00,6
ALMPOFT,ALAMBRE MEMORIA PULSERA OFERTA,1.20,1.20,1.20,1.20,6
A1HE3-4,ALFILER 1 HUECO ENTORCHADO 3 - 4,0.75,0.75,0.75,0.75,6
A1HE3-4F,ALFILER 1 HUECO ENTORCHADO 3 - 4 FDA/GD,6.00,6.00,7.20,6.00,6
